City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
5,Midland,US,75.69,scattered clouds,31.9974,-102.0779,DoubleTree by Hilton Hotel Midland Plaza
6,Hermanus,ZA,77.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
7,Cape Town,ZA,81.1,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Dwarka,IN,86.27,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
11,Bom Jesus,BR,89.67,clear sky,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
13,Porto Velho,BR,87.85,clear sky,-8.7619,-63.9039,Hotel Central
16,Vila Velha,BR,82.96,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
18,Namatanai,PG,79.7,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
26,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
28,Cockburn Town,TC,79.93,clear sky,21.4612,-71.1419,Osprey Beach Hotel
30,Saint Anthony,US,81.72,clear sky,45.0205,-93.21799999999999,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
31,Manali,IN,87.08,overcast clouds,13.1667,80.2667,Sarathy Lodge
33,Fort Myers Beach,US,86.05,few clouds,26.451999999999998,-81.9481,Lani Kai Island Resort
34,Rikitea,PF,76.53,light rain,-23.1203,-134.9692,Pension Maro'i
36,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
39,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
43,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
44,Puerto Ayora,EC,76.96,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
45,Kudahuvadhoo,MV,83.1,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
48,Engenheiro Beltrao,BR,78.1,broken clouds,-23.7972,-52.2692,Hotel Vitória-Régia
50,Honiara,SB,77.58,few clouds,-9.4333,159.95,Heritage Park Hotel
51,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
56,Trairi,BR,87.44,scattered clouds,-3.2778,-39.2689,janelas do mar
62,Hithadhoo,MV,83.7,broken clouds,-0.6,73.0833,Scoop Guest House
65,Labuhan,ID,81.45,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
68,Pyinmana,MM,78.64,broken clouds,19.7333,96.2167,"Win (Computer, Copier, Digital Stamp, Invitation Card, Trophy) Shop"
