City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Suez,EG,29.9737,32.5263,91.0,19,0,10.87,clear sky
1,Clyde River,CA,70.4692,-68.5914,34.03,100,90,12.66,overcast clouds
2,Haines Junction,CA,60.7522,-137.5108,44.55,93,81,2.3,broken clouds
3,Oktyabrskoye,RU,43.0645,44.7417,58.35,93,90,1.92,light rain
4,Nikolayevsk-Na-Amure,RU,53.1406,140.73,40.6,95,100,4.7,overcast clouds
5,Midland,US,31.9974,-102.0779,75.69,75,40,18.41,scattered clouds
6,Hermanus,ZA,-34.4187,19.2345,77.81,43,7,4.88,clear sky
7,Cape Town,ZA,-33.9258,18.4232,81.1,23,0,3.0,clear sky
8,Dwarka,IN,22.2394,68.9678,86.27,70,0,13.18,clear sky
9,Busselton,AU,-33.65,115.3333,53.1,78,21,9.33,few clouds
10,Geraldton,AU,-28.7667,114.6,56.12,87,100,11.43,overcast clouds
11,Bom Jesus,BR,-9.0744,-44.3586,89.67,34,4,8.97,clear sky
12,Mataura,NZ,-46.1927,168.8643,43.97,87,100,1.05,overcast clouds
13,Porto Velho,BR,-8.7619,-63.9039,87.85,62,0,2.3,clear sky
14,Port Alfred,ZA,-33.5906,26.891,72.37,38,0,5.3,clear sky
15,Coihaique,CL,-45.5752,-72.0662,41.61,81,90,8.05,overcast clouds
16,Vila Velha,BR,-20.3297,-40.2925,82.96,68,40,8.01,scattered clouds
17,Vaini,TO,-21.2,-175.2,71.76,83,20,6.91,few clouds
18,Namatanai,PG,-3.6667,152.4333,79.7,84,100,6.76,overcast clouds
19,Albany,US,42.6001,-73.9662,84.63,55,65,1.99,broken clouds
20,Burgeo,CA,47.6167,-57.6152,55.18,82,85,10.31,overcast clouds
21,Paamiut,GL,61.994,-49.6678,37.89,97,100,8.61,light rain
22,Vestmanna,FO,62.1564,-7.1664,47.32,100,90,13.42,mist
23,Qaanaaq,GL,77.484,-69.3632,39.29,80,87,4.79,overcast clouds
24,Ushuaia,AR,-54.8,-68.3,38.86,75,75,8.05,broken clouds
25,Taoudenni,ML,22.6783,-3.9836,117.59,5,68,13.29,broken clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,82.36,61,0,12.66,clear sky
27,Kodiak,US,57.79,-152.4072,51.31,54,1,14.97,clear sky
28,Cockburn Town,TC,21.4612,-71.1419,79.93,78,0,21.0,clear sky
29,Gberia Fotombu,SL,9.8833,-11.1667,93.7,42,75,4.59,broken clouds
30,Saint Anthony,US,45.0205,-93.218,81.72,55,1,3.0,clear sky
31,Manali,IN,13.1667,80.2667,87.08,80,91,10.04,overcast clouds
32,Stykkisholmur,IS,65.0757,-22.7297,49.44,76,100,4.0,overcast clouds
33,Fort Myers Beach,US,26.452,-81.9481,86.05,79,20,5.99,few clouds
34,Rikitea,PF,-23.1203,-134.9692,76.53,81,100,15.3,light rain
35,Radhanpur,IN,23.8333,71.6,98.42,31,1,1.5,clear sky
36,Butaritari,KI,3.0707,172.7902,81.54,75,6,5.73,light rain
37,San Cristobal,VE,7.7669,-72.225,68.18,99,100,3.13,overcast clouds
38,Bluff,NZ,-46.6,168.3333,47.16,83,75,1.7,broken clouds
39,Mahebourg,MU,-20.4081,57.7,76.24,78,40,6.91,scattered clouds
40,Kaitangata,NZ,-46.2817,169.8464,43.43,86,63,2.91,broken clouds
41,Avarua,CK,-21.2078,-159.775,68.05,77,20,2.3,few clouds
42,Narrabri,AU,-30.3167,149.7833,44.53,87,0,1.14,clear sky
43,Kapaa,US,22.0752,-159.319,75.52,84,90,11.12,light rain
44,Puerto Ayora,EC,-0.7393,-90.3518,76.96,89,24,4.0,few clouds
45,Kudahuvadhoo,MV,2.6708,72.8944,83.1,74,30,13.91,scattered clouds
46,Saint-Philippe,RE,-21.3585,55.7679,74.79,81,67,13.06,light rain
47,Genc,TR,38.7507,40.5603,73.58,27,2,7.96,clear sky
48,Engenheiro Beltrao,BR,-23.7972,-52.2692,78.1,54,84,4.7,broken clouds
49,Baykit,RU,61.67,96.37,41.04,55,27,7.45,scattered clouds
50,Honiara,SB,-9.4333,159.95,77.58,89,14,5.23,few clouds
51,Bathsheba,BB,13.2167,-59.5167,84.81,58,40,16.73,scattered clouds
52,Punta Arenas,CL,-53.15,-70.9167,33.91,86,0,9.33,clear sky
53,Madimba,TZ,-10.4,40.3333,81.72,57,20,13.98,few clouds
54,Vrangel,RU,42.7297,133.0839,55.49,83,0,5.77,clear sky
55,Pisco,PE,-13.7,-76.2167,62.65,88,90,8.05,mist
56,Trairi,BR,-3.2778,-39.2689,87.44,54,25,10.96,scattered clouds
57,Bestobe,KZ,52.4994,73.0975,70.95,35,1,2.73,clear sky
58,Taltal,CL,-25.4,-70.4833,63.99,68,0,6.08,clear sky
59,Provideniya,RU,64.3833,-173.3,34.84,85,22,4.97,few clouds
60,Tommot,RU,58.9564,126.2925,63.25,69,57,4.72,broken clouds
61,Yellowknife,CA,62.456,-114.3525,43.32,78,75,17.27,broken clouds
62,Hithadhoo,MV,-0.6,73.0833,83.7,70,65,10.89,broken clouds
63,Cherskiy,RU,68.75,161.3,59.59,50,7,11.12,clear sky
64,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,mist
65,Labuhan,ID,-6.8844,112.2051,81.45,78,69,5.88,broken clouds
66,Luderitz,NA,-26.6481,15.1594,71.56,39,0,6.53,clear sky
67,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,90,2.19,mist
68,Pyinmana,MM,19.7333,96.2167,78.64,88,65,7.83,broken clouds
